"subjID","offer","missed","accept","response_time","human","ingroup","block_fair","run"
"sub-106","3",0,0,1.06745,1,0,0,1
"sub-106","2",0,0,0.56093,1,0,0,1
"sub-106","4",0,0,0.42044,1,0,0,1
"sub-106","2",0,0,0.54413,1,0,0,1
"sub-106","4",0,0,0.494,1,0,0,1
"sub-106","6",0,1,0.78594,1,0,0,1
"sub-106","4",0,0,0.25812,1,0,0,1
"sub-106","10",0,1,0.34166,1,0,0,1
"sub-106","7",0,1,0.48668,0,0,1,1
"sub-106","8",0,1,0.36464,0,0,1,1
"sub-106","9",0,1,0.40875,0,0,1,1
"sub-106","8",0,1,0.41926,0,0,1,1
"sub-106","9",0,1,0.29739,0,0,1,1
"sub-106","5",0,0,0.43155,0,0,1,1
"sub-106","4",0,0,0.51137,0,0,1,1
"sub-106","7",0,1,0.27478,0,0,1,1
"sub-106","7",0,1,0.53621,1,0,1,1
"sub-106","5",0,0,0.41046,1,0,1,1
"sub-106","10",0,1,0.02033,1,0,1,1
"sub-106","10",0,1,0.37983,1,0,1,1
"sub-106","8",0,1,0.2049,1,0,1,1
"sub-106","3",0,0,0.01945,1,0,1,1
"sub-106","10",0,1,0.0278499999999999,1,0,1,1
"sub-106","10",0,1,0.25503,1,0,1,1
"sub-106","9",0,1,0.27622,1,1,1,1
"sub-106","10",0,1,0.36399,1,1,1,1
"sub-106","2",0,0,0.0890299999999999,1,1,1,1
"sub-106","10",0,1,0.31823,1,1,1,1
"sub-106","7",0,1,0.38061,1,1,1,1
"sub-106","8",0,1,0.30179,1,1,1,1
"sub-106","8",0,1,0.22531,1,1,1,1
"sub-106","5",0,0,0.41223,1,1,1,1
"sub-106","8",0,1,0.39347,1,0,1,1
"sub-106","9",0,1,0.36493,1,0,1,1
"sub-106","7",0,1,0.9853,1,0,1,1
"sub-106","8",0,1,0.24661,1,0,1,1
"sub-106","2",0,0,0.0285,1,0,1,1
"sub-106","5",0,0,0.0566199999999999,1,0,1,1
"sub-106","9",0,1,0.24085,1,0,1,1
"sub-106","9",0,1,0.0235399999999999,1,0,1,1
"sub-106","2",0,0,0.54624,0,0,0,1
"sub-106","4",0,0,0.33995,0,0,0,1
"sub-106","1",0,0,0.02681,0,0,0,1
"sub-106","8",0,1,0.52964,0,0,0,1
"sub-106","1",0,0,0.0317700000000001,0,0,0,1
"sub-106","6",0,0,0.47249,0,0,0,1
"sub-106","2",0,0,0.0329600000000001,0,0,0,1
"sub-106","1",0,0,0.33519,0,0,0,1
"sub-106","9",0,1,0.4179,1,1,1,1
"sub-106","9",0,1,0.32259,1,1,1,1
"sub-106","9",0,1,0.02085,1,1,1,1
"sub-106","6",0,0,0.54758,1,1,1,1
"sub-106","7",0,1,0.41683,1,1,1,1
"sub-106","10",0,1,0.03128,1,1,1,1
"sub-106","4",0,0,0.06382,1,1,1,1
"sub-106","7",0,1,0.32073,1,1,1,1
"sub-106","3",0,0,0.37831,1,0,0,1
"sub-106","4",0,0,0.38636,1,0,0,1
"sub-106","5",0,0,0.0247200000000001,1,0,0,1
"sub-106","9",0,1,0.26125,1,0,0,1
"sub-106","2",0,0,0.28887,1,0,0,1
"sub-106","1",0,0,0.02538,1,0,0,1
"sub-106","1",0,0,0.02058,1,0,0,1
"sub-106","1",0,0,0.0280199999999999,1,0,0,1
"sub-106","5",0,0,0.4877,1,1,0,1
"sub-106","3",0,0,0.58459,1,1,0,1
"sub-106","1",0,0,0.2615,1,1,0,1
"sub-106","1",0,0,0.36031,1,1,0,1
"sub-106","2",0,0,0.16563,1,1,0,1
"sub-106","7",0,1,0.51088,1,1,0,1
"sub-106","4",0,0,0.30687,1,1,0,1
"sub-106","1",0,0,0.38429,1,1,0,1
"sub-106","10",0,1,0.72729,1,0,1,2
"sub-106","7",0,1,0.38326,1,0,1,2
"sub-106","9",0,1,0.02121,1,0,1,2
"sub-106","9",0,1,0.263,1,0,1,2
"sub-106","3",0,0,0.23828,1,0,1,2
"sub-106","8",0,0,0.0190300000000001,1,0,1,2
"sub-106","5",0,0,0.3617,1,0,1,2
"sub-106","7",0,1,0.0948199999999999,1,0,1,2
"sub-106","10",0,1,0.29761,0,0,1,2
"sub-106","5",0,0,0.23062,0,0,1,2
"sub-106","8",0,1,0.4655,0,0,1,2
"sub-106","3",0,0,0.03128,0,0,1,2
"sub-106","8",0,1,0.1206,0,0,1,2
"sub-106","7",0,1,0.49127,0,0,1,2
"sub-106","10",0,1,0.49625,0,0,1,2
"sub-106","9",0,1,0.30873,0,0,1,2
"sub-106","4",0,0,0.37365,1,0,0,2
"sub-106","1",0,0,0.31589,1,0,0,2
"sub-106","9",0,1,0.30655,1,0,0,2
"sub-106","2",0,0,0.38757,1,0,0,2
"sub-106","1",0,0,0.0499799999999999,1,0,0,2
"sub-106","5",0,0,0.75299,1,0,0,2
"sub-106","4",0,0,0.40082,1,0,0,2
"sub-106","3",0,0,0.03233,1,0,0,2
"sub-106","7",0,1,1.01412,0,0,1,2
"sub-106","9",0,1,0.29043,0,0,1,2
"sub-106","5",0,0,0.33113,0,0,1,2
"sub-106","7",0,1,0.20991,0,0,1,2
"sub-106","9",0,1,0.72992,0,0,1,2
"sub-106","10",0,1,0.03342,0,0,1,2
"sub-106","1",0,0,0.31589,0,0,1,2
"sub-106","8",0,1,0.35628,0,0,1,2
"sub-106","7",0,1,0.48313,1,1,1,2
"sub-106","7",0,1,0.02264,1,1,1,2
"sub-106","9",0,1,1.1757,1,1,1,2
"sub-106","7",0,1,0.0724499999999999,1,1,1,2
"sub-106","9",0,1,0.56845,1,1,1,2
"sub-106","2",0,0,0.55138,1,1,1,2
"sub-106","8",0,1,0.44993,1,1,1,2
"sub-106","6",0,0,0.38192,1,1,1,2
"sub-106","4",0,0,0.5413,0,0,0,2
"sub-106","2",0,0,0.02301,0,0,0,2
"sub-106","7",0,0,1.3023,0,0,0,2
"sub-106","2",0,0,0.26552,0,0,0,2
"sub-106","3",0,0,0.0261800000000001,0,0,0,2
"sub-106","2",0,0,0.09934,0,0,0,2
"sub-106","6",0,0,0.28159,0,0,0,2
"sub-106","2",0,0,0.0289299999999999,0,0,0,2
"sub-106","4",0,0,0.2892,1,1,0,2
"sub-106","3",0,0,0.0267999999999999,1,1,0,2
"sub-106","8",0,1,0.1591,1,1,0,2
"sub-106","2",0,0,0.01841,1,1,0,2
"sub-106","3",0,0,0.02152,1,1,0,2
"sub-106","1",0,0,0.33334,1,1,0,2
"sub-106","5",0,0,0.1101,1,1,0,2
"sub-106","4",0,0,0.27222,1,1,0,2
"sub-106","2",0,0,0.16523,0,0,0,2
"sub-106","10",0,1,0.69445,0,0,0,2
"sub-106","1",0,0,0.45478,0,0,0,2
"sub-106","1",0,0,0.32531,0,0,0,2
"sub-106","1",0,0,0.61759,0,0,0,2
"sub-106","1",0,0,0.02362,0,0,0,2
"sub-106","6",0,0,0.75257,0,0,0,2
"sub-106","4",0,0,0.0173099999999999,0,0,0,2
"sub-106","4",0,0,0.23688,1,1,0,2
"sub-106","4",0,0,0.03162,1,1,0,2
"sub-106","4",0,0,0.0184800000000001,1,1,0,2
"sub-106","1",0,0,0.01878,1,1,0,2
"sub-106","4",0,0,0.6869,1,1,0,2
"sub-106","6",0,0,0.15663,1,1,0,2
"sub-106","8",0,1,0.92843,1,1,0,2
"sub-106","2",0,0,0.02518,1,1,0,2
"sub-109","10",0,1,1.44422,1,1,1,1
"sub-109","7",0,1,0.78732,1,1,1,1
"sub-109","4",0,1,0.83442,1,1,1,1
"sub-109","10",0,1,0.45152,1,1,1,1
"sub-109","7",0,1,0.59231,1,1,1,1
"sub-109","6",0,1,0.23,1,1,1,1
"sub-109","9",0,1,1.33518,1,1,1,1
"sub-109","7",0,1,1.08889,1,1,1,1
"sub-109","5",0,1,1.60534,1,0,1,1
"sub-109","10",0,1,0.38356,1,0,1,1
"sub-109","8",0,1,1.01899,1,0,1,1
"sub-109","10",0,1,0.71702,1,0,1,1
"sub-109","8",0,1,0.60508,1,0,1,1
"sub-109","10",0,1,0.76476,1,0,1,1
"sub-109","2",0,1,1.34071,1,0,1,1
"sub-109","8",0,1,0.8808,1,0,1,1
"sub-109","2",0,1,1.1094,0,0,0,1
"sub-109","6",0,1,0.4146,0,0,0,1
"sub-109","2",0,1,0.5417,0,0,0,1
"sub-109","2",0,1,0.55204,0,0,0,1
"sub-109","7",0,1,1.27068,0,0,0,1
"sub-109","4",0,1,1.63803,0,0,0,1
"sub-109","4",0,1,1.4614,0,0,1,1
"sub-109","9",0,1,0.15153,0,0,1,1
"sub-109","7",0,1,1.22914,0,0,1,1
"sub-109","8",0,1,0.54111,0,0,1,1
"sub-109","9",0,1,0.49465,0,0,1,1
"sub-109","9",0,1,1.67478,0,0,1,1
"sub-109","6",0,1,1.00845,0,0,1,1
"sub-109","6",0,1,1.04018,1,0,0,1
"sub-109","3",0,1,1.86638,1,0,0,1
"sub-109","1",0,0,1.78265,1,0,0,1
"sub-109","2",0,1,0.99855,1,0,0,1
"sub-109","8",0,1,0.77617,1,0,0,1
"sub-109","2",0,1,0.47303,1,0,0,1
"sub-109","3",0,1,0.51062,1,0,0,1
"sub-109","6",0,1,1.06013,1,1,1,1
"sub-109","8",0,1,1.5469,1,1,1,1
"sub-109","9",0,1,0.5428,1,1,1,1
"sub-109","10",0,1,1.02079,1,1,1,1
"sub-109","7",0,1,0.90987,1,1,1,1
"sub-109","4",0,1,0.38709,1,1,1,1
"sub-109","9",0,1,0.35057,1,1,1,1
"sub-109","2",0,1,1.31259,1,0,1,1
"sub-109","8",0,1,1.03626,1,0,1,1
"sub-109","6",0,1,0.76573,1,0,1,1
"sub-109","10",0,1,0.93301,1,0,1,1
"sub-109","7",0,1,0.25397,1,0,1,1
"sub-109","9",0,1,0.40647,1,0,1,1
"sub-109","10",0,1,1.06098,1,0,1,1
"sub-109","3",0,1,1.56351,1,0,0,1
"sub-109","4",0,1,0.70283,1,0,0,1
"sub-109","7",0,1,0.34356,1,0,0,1
"sub-109","3",0,1,1.85633,1,0,0,1
"sub-109","2",0,1,0.38246,1,0,0,1
"sub-109","4",0,1,1.51582,1,0,0,1
"sub-109","2",0,1,0.36619,1,0,0,1
"sub-109","3",0,1,1.34722,1,1,0,1
"sub-109","10",0,1,0.77781,1,1,0,1
"sub-109","1",0,1,1.18504,1,1,0,1
"sub-109","1",0,0,0.40646,1,1,0,1
"sub-109","2",0,1,0.45965,1,1,0,1
"sub-109","3",0,1,1.18244,1,1,0,1
"sub-109","4",0,1,1.171,1,1,0,1
"sub-109","10",0,1,0.70326,0,0,1,2
"sub-109","9",0,1,0.83959,0,0,1,2
"sub-109","10",0,1,0.59654,0,0,1,2
"sub-109","7",0,1,1.08851,0,0,1,2
"sub-109","6",0,1,0.11771,0,0,1,2
"sub-109","10",0,1,0.49095,0,0,1,2
"sub-109","9",0,1,0.40792,0,0,1,2
"sub-109","6",0,1,1.21521,1,1,0,2
"sub-109","1",0,0,0.17271,1,1,0,2
"sub-109","9",0,1,0.70886,1,1,0,2
"sub-109","1",0,0,0.3381,1,1,0,2
"sub-109","2",0,1,0.50739,1,1,0,2
"sub-109","1",0,0,0.82401,1,1,0,2
"sub-109","1",0,0,1.48628,1,1,0,2
"sub-109","10",0,1,0.26931,0,0,1,2
"sub-109","8",0,1,0.68549,0,0,1,2
"sub-109","10",0,1,0.22725,0,0,1,2
"sub-109","6",0,1,0.66974,0,0,1,2
"sub-109","7",0,1,0.0255399999999999,0,0,1,2
"sub-109","7",0,1,0.90758,0,0,1,2
"sub-109","7",0,1,1.58041,1,0,1,2
"sub-109","7",0,1,0.39774,1,0,1,2
"sub-109","1",0,0,0.27585,1,0,1,2
"sub-109","8",0,1,0.37722,1,0,1,2
"sub-109","7",0,1,1.81049,1,0,1,2
"sub-109","10",0,1,0.43227,1,0,1,2
"sub-109","7",0,1,0.30862,1,0,1,2
"sub-109","6",0,1,0.06566,1,0,1,2
"sub-109","1",0,1,1.63344,0,0,0,2
"sub-109","3",0,1,0.46067,0,0,0,2
"sub-109","6",0,1,0.64305,0,0,0,2
"sub-109","4",0,1,0.26181,0,0,0,2
"sub-109","4",0,1,0.0188900000000001,0,0,0,2
"sub-109","9",0,1,1.01892,0,0,0,2
"sub-109","2",0,1,0.61932,0,0,0,2
"sub-109","4",0,1,0.53904,1,1,0,2
"sub-109","2",0,1,0.33721,1,1,0,2
"sub-109","6",0,1,0.1553,1,1,0,2
"sub-109","4",0,1,0.17562,1,1,0,2
"sub-109","4",0,1,0.0312399999999999,1,1,0,2
"sub-109","1",0,0,1.08836,1,1,0,2
"sub-109","4",0,0,1.7197,0,0,0,2
"sub-109","3",0,1,0.81948,0,0,0,2
"sub-109","2",0,1,1.03162,0,0,0,2
"sub-109","1",0,0,0.11661,0,0,0,2
"sub-109","3",0,1,0.55716,0,0,0,2
"sub-109","5",0,1,0.33258,0,0,0,2
"sub-109","8",0,1,1.74822,0,0,0,2
"sub-109","1",0,0,0.40292,0,0,0,2
"sub-109","8",0,1,1.18707,1,1,1,2
"sub-109","9",0,1,1.09472,1,1,1,2
"sub-109","8",0,1,0.43019,1,1,1,2
"sub-109","3",0,1,1.57411,1,1,1,2
"sub-109","10",0,1,0.9966,1,1,1,2
"sub-109","7",0,1,0.23458,1,1,1,2
"sub-109","9",0,1,1.63908,1,1,1,2
"sub-109","2",0,1,0.49792,1,0,0,2
"sub-109","1",0,0,0.0351699999999999,1,0,0,2
"sub-109","4",0,1,0.67393,1,0,0,2
"sub-109","3",0,1,1.3579,1,0,0,2
"sub-109","3",0,1,0.28838,1,0,0,2
"sub-109","9",0,1,0.48947,1,0,0,2
"sub-104","8",0,1,0.29731,1,0,1,1
"sub-104","7",0,1,0.72801,1,0,1,1
"sub-104","9",0,1,0.65732,1,0,1,1
"sub-104","2",0,1,0.63725,1,0,1,1
"sub-104","7",0,1,0.43327,1,0,1,1
"sub-104","6",0,1,0.69689,1,0,1,1
"sub-104","7",0,1,0.41059,1,0,1,1
"sub-104","7",0,1,0.30698,1,0,1,1
"sub-104","7",0,1,0.29519,1,0,0,1
"sub-104","3",0,1,0.35989,1,0,0,1
"sub-104","3",0,1,0.32231,1,0,0,1
"sub-104","4",0,1,0.32022,1,0,0,1
"sub-104","1",0,1,0.30058,1,0,0,1
