subjID,younger,older,ismale,tsnr,fd_mean,RT
sub-104,1.00E+00,0.00E+00,5.74E-01,0.335345346,-1.109117337,2.56E-01
sub-105,1.00E+00,0.00E+00,-4.26E-01,1.43926098,-1.214960371,1.03E+00
sub-106,1.00E+00,0.00E+00,-4.26E-01,0.84197575,-0.295734173,6.77E-03
sub-107,1.00E+00,0.00E+00,5.74E-01,0.467173848,-1.179449315,1.64E-01
sub-108,1.00E+00,0.00E+00,-4.26E-01,0.4199414,-0.888679465,-1.25E+00
sub-109,1.00E+00,0.00E+00,-4.26E-01,0.680348289,-0.333947122,1.43E+00
sub-110,1.00E+00,0.00E+00,5.74E-01,0.771201523,-1.292912535,-1.26E+00
sub-111,0.00E+00,1.00E+00,5.74E-01,-0.691764793,0.146433278,-1.25E+00
sub-112,1.00E+00,0.00E+00,-4.26E-01,0.817466001,-0.931557862,9.91E-01
sub-113,1.00E+00,0.00E+00,-4.26E-01,-1.142227911,0.36502216,8.13E-01
sub-115,1.00E+00,0.00E+00,-4.26E-01,0.750329892,-0.517222174,9.40E-01
sub-116,1.00E+00,0.00E+00,-4.26E-01,-0.449037222,-0.458864599,1.83E-01
sub-117,1.00E+00,0.00E+00,-4.26E-01,1.075760056,-0.887283578,3.08E-01
sub-118,1.00E+00,0.00E+00,-4.26E-01,-1.060535185,0.783193711,2.14E-01
sub-121,1.00E+00,0.00E+00,-4.26E-01,1.822941324,-1.128909272,2.76E-01
sub-122,1.00E+00,0.00E+00,-4.26E-01,1.759997806,-1.012660134,1.49E+00
sub-124,1.00E+00,0.00E+00,5.74E-01,0.750570699,-0.622688021,5.65E-01
sub-125,1.00E+00,0.00E+00,-4.26E-01,1.781157475,-1.063575099,1.67E+00
sub-126,1.00E+00,0.00E+00,5.74E-01,-0.881321934,-0.422387959,3.57E-01
sub-127,0.00E+00,1.00E+00,-4.26E-01,0.726955566,-0.586700833,8.02E-01
sub-128,0.00E+00,1.00E+00,5.74E-01,0.354984567,0.35040772,-1.27E+00
sub-129,0.00E+00,1.00E+00,5.74E-01,-1.141721185,2.26385679,-1.26E+00
sub-130,0.00E+00,1.00E+00,-4.26E-01,-1.262876457,1.236388009,1.18E+00
sub-132,0.00E+00,1.00E+00,-4.26E-01,-0.107125145,-0.012961885,1.63E+00
sub-133,0.00E+00,1.00E+00,5.74E-01,1.055715262,0.050489502,9.06E-01
sub-134,0.00E+00,1.00E+00,-4.26E-01,-0.770087816,0.121069128,-1.25E+00
sub-135,0.00E+00,1.00E+00,5.74E-01,-0.653236011,1.016904241,-1.25E+00
sub-136,0.00E+00,1.00E+00,-4.26E-01,0.220981734,-0.470718126,-1.24E+00
sub-137,0.00E+00,1.00E+00,5.74E-01,-0.54577279,0.786471014,-7.91E-01
sub-138,0.00E+00,1.00E+00,5.74E-01,-1.700501417,2.956665728,-1.68E-01
sub-140,0.00E+00,1.00E+00,5.74E-01,-0.738385115,0.945144959,-4.17E-01
sub-141,0.00E+00,1.00E+00,-4.26E-01,0.509990371,-0.031470684,-9.10E-01
sub-142,0.00E+00,1.00E+00,-4.26E-01,-0.159519738,0.411082901,1.53E+00
sub-143,0.00E+00,1.00E+00,-4.26E-01,1.600072485,-0.251220667,-1.26E+00
sub-144,0.00E+00,1.00E+00,5.74E-01,-2.070394775,1.857227144,-1.26E+00
sub-147,0.00E+00,1.00E+00,-4.26E-01,-1.000297491,0.677173554,1.18E-02
sub-149,0.00E+00,1.00E+00,5.74E-01,-0.939580152,1.676162702,-1.25E+00
sub-150,1.00E+00,0.00E+00,-4.26E-01,-0.537555218,-0.21095519,6.40E-01
sub-151,0.00E+00,1.00E+00,-4.26E-01,-1.120709642,1.001343862,-1.25E+00
sub-152,0.00E+00,1.00E+00,5.74E-01,-1.252682339,1.56148429,-1.26E+00
sub-153,1.00E+00,0.00E+00,5.74E-01,0.007521336,-0.61313535,-1.24E+00
sub-154,0.00E+00,1.00E+00,-4.26E-01,0.280333975,0.064014578,3.16E-01
sub-155,1.00E+00,0.00E+00,5.74E-01,0.898209256,-1.233512086,3.83E-01
sub-156,1.00E+00,0.00E+00,-4.26E-01,-1.213480721,0.657957535,1.02E+00
sub-157,1.00E+00,0.00E+00,5.74E-01,-0.808294548,-0.32672095,1.95E-01
sub-158,1.00E+00,0.00E+00,5.74E-01,-0.339626837,-0.648509396,1.02E+00
sub-159,1.00E+00,0.00E+00,-4.26E-01,1.218499501,-1.182638625,-4.94E-01
